CPU001,CPU 1 ubuntu2004,User%,Sys%,Wait%,Idle%,Steal%
CPU001,T0413,0.0,100.0,0.0,0.0,0.0
CPU001,T0414,0.0,100.0,0.0,0.0,0.0
CPU001,T0415,1.0,99.0,0.0,0.0,0.0
CPU001,T0416,1.0,99.0,0.0,0.0,0.0
CPU001,T0417,0.0,100.0,0.0,0.0,0.0
CPU001,T0418,0.0,100.0,0.0,0.0,0.0
CPU001,T0419,0.0,100.0,0.0,0.0,0.0
CPU001,T0420,0.0,100.0,0.0,0.0,0.0
CPU001,T0421,0.0,100.0,0.0,0.0,0.0
CPU001,T0422,0.0,100.0,0.0,0.0,0.0
CPU001,T0423,0.0,100.0,0.0,0.0,0.0
CPU001,T0424,0.0,100.0,0.0,0.0,0.0
CPU001,T0425,0.0,100.0,0.0,0.0,0.0
CPU001,T0426,1.0,99.0,0.0,0.0,0.0
CPU001,T0427,0.0,100.0,0.0,0.0,0.0
CPU001,T0428,0.0,100.0,0.0,0.0,0.0
CPU001,T0429,0.0,100.0,0.0,0.0,0.0
CPU001,T0430,0.0,100.0,0.0,0.0,0.0
CPU001,T0431,0.0,100.0,0.0,0.0,0.0
CPU001,T0432,0.0,100.0,0.0,0.0,0.0
CPU001,T0433,0.0,100.0,0.0,0.0,0.0
CPU001,T0434,0.0,100.0,0.0,0.0,0.0
CPU001,T0435,0.0,100.0,0.0,0.0,0.0
CPU001,T0436,0.0,100.0,0.0,0.0,0.0
CPU001,T0437,0.0,100.0,0.0,0.0,0.0
CPU001,T0438,0.0,100.0,0.0,0.0,0.0
CPU001,T0439,1.0,99.0,0.0,0.0,0.0
CPU001,T0440,0.0,100.0,0.0,0.0,0.0
CPU001,T0441,0.0,100.0,0.0,0.0,0.0
CPU001,T0442,0.0,100.0,0.0,0.0,0.0
CPU001,T0443,1.0,99.0,0.0,0.0,0.0
CPU001,T0444,0.0,100.0,0.0,0.0,0.0
CPU001,T0445,0.0,100.0,0.0,0.0,0.0
CPU001,T0446,0.0,100.0,0.0,0.0,0.0
CPU001,T0447,0.0,100.0,0.0,0.0,0.0
CPU001,T0448,0.0,100.0,0.0,0.0,0.0
CPU001,T0449,0.0,100.0,0.0,0.0,0.0
CPU001,T0450,0.0,100.0,0.0,0.0,0.0
CPU001,T0451,1.0,99.0,0.0,0.0,0.0
CPU001,T0452,0.0,100.0,0.0,0.0,0.0
CPU001,T0453,0.0,100.0,0.0,0.0,0.0
CPU001,T0454,0.0,100.0,0.0,0.0,0.0
CPU001,T0455,0.0,100.0,0.0,0.0,0.0
CPU001,T0456,0.0,100.0,0.0,0.0,0.0
CPU001,T0457,0.0,100.0,0.0,0.0,0.0
CPU001,T0458,0.0,100.0,0.0,0.0,0.0
CPU001,T0459,0.0,100.0,0.0,0.0,0.0
CPU001,T0460,0.0,100.0,0.0,0.0,0.0
CPU001,T0461,3.0,97.0,0.0,0.0,0.0
CPU001,T0462,0.0,100.0,0.0,0.0,0.0
CPU001,T0463,0.0,100.0,0.0,0.0,0.0
CPU001,T0464,0.0,100.0,0.0,0.0,0.0
CPU001,T0465,0.0,100.0,0.0,0.0,0.0
CPU001,T0466,0.0,100.0,0.0,0.0,0.0
CPU001,T0467,0.0,100.0,0.0,0.0,0.0
CPU001,T0468,0.0,100.0,0.0,0.0,0.0
CPU001,T0469,0.0,100.0,0.0,0.0,0.0
CPU001,T0470,0.0,100.0,0.0,0.0,0.0
CPU001,T0471,2.0,98.0,0.0,0.0,0.0
CPU001,T0472,0.0,100.0,0.0,0.0,0.0
